ID,trial,word,ink,response,reactiontime,practice
3,61,red,red,f,429,practice
3,62,green,red,f,388,practice
3,63,red,green,j,408,practice
3,64,green,green,j,405,practice
3,65,red,red,f,410,practice
3,66,green,red,f,414,practice
3,67,red,green,f,371,practice
3,68,green,green,j,429,practice
3,69,red,red,f,436,practice
3,70,green,red,f,380,practice
3,71,red,green,j,365,main
3,72,green,green,j,406,main
3,73,red,red,f,394,main
3,74,green,red,f,375,main
3,75,red,green,f,386,main
3,76,green,green,f,328,main
3,77,red,red,j,405,main
3,78,green,red,f,388,main
3,79,red,green,j,443,main
3,80,green,green,j,390,main
3,81,red,red,f,455,main
3,82,green,red,f,394,main
3,83,red,green,j,432,main
3,84,green,green,j,385,main
3,85,red,red,f,379,main
3,86,green,red,f,330,main
3,87,red,green,f,420,main
3,88,green,green,j,388,main
3,89,red,red,f,439,main
3,90,green,red,f,415,main
